title,description,pubDate
Ukraine crisis: Biden and Johnson say still hope for diplomatic agreement,The US and UK leaders shared a call after Russia too suggested a diplomatic solution was still possible.,
"Met Police: Some officers are racist, professional standards chief admits","Bas Javid pledges to remove racist staff, but some black officers say the issue is getting worse.",
UK wage growth continues to trail cost of living,"Real pay fell by 0.8% between October and December as inflation soared, official figures show.",
Valieva 'emotionally tired' as she goes for gold,"Russian figure skater Kamila Valieva has argued her positive drugs test was due to contamination with her grandad's medicine, an Olympic official says.",
Leah Croucher: Parents talk of trolling three years after disappearance,Leah Croucher was last seen on CCTV footage the morning after she left the family home in 2019.,
Victim awarded £1.4m damages over abuse by monks,"The man was sexually assaulted and beaten by three Christian Brothers at St Ninian's in Falkland, Fife.",
"Covid: Djokovic breaks silence on vaccines, and Northern Ireland set to lift restrictions",Five things you need to know about the coronavirus pandemic this Tuesday morning.,
Star Hobson council plagued by vacancies ,"Bradford Council faced a long-term struggle to recruit and retain social workers, a report finds.",
Trump accountants say financial reports unreliable,Mazars says it can no longer stand behind 10 years of the former president's statements.,
The tricks scammers use to steal your money,"Criminals are 'socially engineering' victims into giving them money, according to Barclays Bank.",
The Papers: 'Last chance to stop war' but still hope for peace,Most front pages on Tuesday focus on the growing tensions between Russia and the West over Ukraine.,
Nigeria's prisons problem: Former inmates reveal horrific experiences,Joy’s husband died in custody after three years in prison. He was one of thousands of Nigerian inmates detained without trial.,
"The 5,000-year-old human bone found in the River Thames",Experts say the Stone Age bone is one of the oldest objects ever found in the River Thames.,
Flock of blackbirds drops dead mid-flight in Mexico,Video shows close to 100 yellow-headed blackbirds falling from the sky mid-flight in northern Mexico.,
Ukraine: Social media videos show Russian military equipment on the move near border,Social media clips show military vehicles on the move - despite Russia's denials of an attack.,
Returning to Holloway after wrongful conviction at 19,Tracy Felstead was one of the Post Office workers wrongly convicted in the Post Office scandal.,
Couple married for 91 years and still in love,Yemeni Jews Shama’a and Zechariah married young and survived extreme poverty and persecution together.,
"Goodbye Turkey, hello Türkiye",Why is Turkey rebranding its internationally recognised name as “Türkiye”?,
"Sharon Jackson, the Belfast woman who went to her own wake","Sharon Jackson, who has terminal cancer, organised a celebration of life, calling it an ""awake wake"".",
First trailer teases The Lord of the Rings: The Rings of Power TV show,Fans get a first look at ancestors of the hobbits plus more characters from Amazon's $1bn series.,
Was Canada's Covid response more effective than the US?,"Despite protests raging in Canada, the country is managing Covid better than the US, data shows.",
US mid-terms: How will new voting laws affect the election?,New rules are coming in across the US ahead of mid-term elections. What impact will they have?,
Nigeria's sleepless students trying to beat the Lagos traffic,"Nigeria's largest city is notorious for its traffic, which is having an impact on children's education.",
